,SKU,,KK1,QT,KK2,QT,KK3,QT,KK4,QT,KK5,QT,KK6,QT,KK7,QT,KK8,QT,KITS,ADDITIONAL,TOTAL,TO MAKE,MADE,BAL,Receptacle,Header,Total recept,Total head
ww,SMRTB101,smARtBUS BASIC RISER AB,,87,1,106,1,97,2,60,2,40,2,140,2,190,1,220,1283,406,1689,1800,2326,526,2,2,3600,3600
ww,SMRTB102,smARtBUS BASIC RISER CD,,87,,106,,97,,60,,40,,140,1,190,1,220,410,232,642,700,744,44,2,2,1400,1400
ww,SMRTB103,smARtBUS FULL RISER,,87,,106,,97,,60,,40,,140,1,190,1,220,410,172,582,700,746,46,4,4,2800,2800
ww,SMRTB104,smARtBUS BASIC DOUBLE,,87,1,106,1,97,1,60,1,40,1,140,1,190,1,220,853,179,1032,1100,1198,98,,4,0,4400
ww,SMRTB105,smARtBUS BASIC MIRROR,,87,,106,,97,,60,,40,,140,1,190,1,220,410,136,546,600,598,-2,,4,0,2400
ww,SMRTB106,smARtBUS QUAD,,87,,106,,97,,60,,40,,140,1,190,1,220,410,89,499,600,594,-6,,12,0,7200
ww,SMRTB107,smARtBUS QUAD POWER,,87,,106,,97,1,60,1,40,1,140,,190,1,220,460,109,569,600,587,-13,,12,0,7200
cn,SMRTB108,smARtBUS Adapter for Arduino,,87,,106,,97,,60,,40,,140,1,190,1,220,410,194,604,700,722,22,,2,0,1400
cn,SMRTB109,smARtBUS Adapter for Arduino Shields,,87,,106,,97,,60,,40,,140,1,190,1,220,410,194,604,700,716,16,2,,1400,0
cn,SMRTB110,smARtBUS BASIC REPLICATOR HORIZONTAL,,87,,106,,97,,60,1,40,1,140,1,190,1,220,590,139,729,800,832,32,4,4,3200,3200
cn,SMRTB111,smARtBUS BASIC REPLICATOR VERTICAL,,87,,106,,97,,60,1,40,1,140,1,190,1,220,590,123,713,800,828,28,4,4,3200,3200
prototyped,SMRTB112,smARtBUS Adapter for Raspberry Pi,,87,,106,,97,,60,,40,,140,,190,,220,0,153,153,200,,-200,,2,0,400
approved,SMRTB113,smARtBUS Full Breakout board,,,,,,,,,,,,,,,,,0,0,0,,,0,,4,0,0
approved,SMRTB114,smARtBUS Basic breadboard adapter,,,,,,,,,1,40,1,140,1,190,1,220,590,190,780,1000,,-1000,,2,0,2000
prototyped,SMRTB115,smARtBUS Adapter for Digispark,,,,,,,,,,,,,,,,,458,122,580,600,,-600,2,,1200,0
ww,SMRTC801,smARtCORE L,1,87,,106,1,97,1,60,1,40,1,140,1,190,1,220,834,127,961,1100,1100,0,2,,2200,0
ww,SMRTC802,smARtCORE U,,87,1,106,,97,,60,1,40,1,140,,190,1,220,506,151,657,800,800,0,2,,1600,0
ww,SMRTC803,smARtCORE M,,87,,106,,97,,60,,40,,140,1,190,1,220,410,41,451,500,500,0,4,,2000,0
cn,SMRTC804,smARtCORE Z,,87,,106,,97,,60,,40,1,140,,190,1,220,360,232,592,700,796,96,2,,1400,0
designing,SMRTC805,smARtCORE C,,87,,106,,97,,60,1,40,,140,1,190,1,220,450,31,481,500,,-500,2,,1000,0
ww,SMRTH301,smARtHOST POWER,1,87,1,106,1,97,1,60,1,40,1,140,1,190,1,220,940,97,1037,1200,1200,0,2,2,2400,2400
ww,SMRTH302,smARtHOST POWER PLUS,,87,,106,,97,,60,1,40,1,140,,190,1,220,400,141,541,800,811,11,2,2,1600,1600
ww,SMRTH303,smARtHOST HIGH POWER,,87,,106,,97,,60,,40,,140,1,190,1,220,410,82,492,600,639,39,2,2,1200,1200
ww,SMRTH304,smARtHOST BREAKOUT,1,87,1,106,1,97,1,60,1,40,1,140,1,190,1,220,940,261,1201,1400,1435,35,2,2,2800,2800
ww,SMRTH305,smARtHOST BREADBOARD,,87,1,106,,97,1,60,1,40,1,140,1,190,1,220,756,137,893,1000,998,-2,2,2,2000,2000
ww,SMRTH306,smARtHOST FOR ARDUINO,1,87,1,106,1,97,1,60,1,40,1,140,1,190,1,220,940,75,1015,1200,1200,0,,2,0,2400
cn,SMRTH307,smARtHOST FOR ARDUINO SHIELDS,,87,,106,,97,1,60,1,40,1,140,1,190,1,220,650,112,762,900,882,-18,2,2,1800,1800
prototyped,SMRTH308,smARtHOST USB/ADK,,87,,106,1,97,1,60,1,40,1,140,1,190,1,220,747,44,791,900,,-900,2,2,1800,1800
running,SMRTH309,smARtHOST MEMORY,,87,,106,,97,1,60,1,40,1,140,1,190,1,220,650,152,802,900,,-900,2,2,1800,1800
prototyped,SMRTH310,smARtHOST ETHERNET,,87,,106,,97,,60,,40,,140,1,190,1,220,410,174,584,700,,-700,2,2,1400,1400
